Province,Program Stream,Employer,PostalCode,Occupation,Incorporate Status,Approved LMIAs,Approved Positions
Newfoundland and Labrador                                                  ,High Wage          ,Genoa Design International,"Mt. Pearl, NL A1N 4R6","21399-Other professional engineers, n.e.c.",Unknown,1,4
Newfoundland and Labrador                                                  ,High Wage          ,Newfoundland and Labrador Health Services,"Grand Falls-Windsor, NL A2A 1X3",31102-General practitioners and family physicians,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,70535 Newfoundland & Labrador,"Stephenville, NL A2N 2M3",62020-Food service supervisors,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Allens Fisheries Limited,"Benoits Cove, NL A0L 1A0",95107-Labourers in fish and seafood processing,Unknown,1,40
Newfoundland and Labrador                                                  ,Low Wage            ,Barry Group Inc,"Corner Brook, NL A2H 3E9",94142-Fish and seafood plant workers,Unknown,2,85
Newfoundland and Labrador                                                  ,Low Wage            ,Barry Group Inc.,"Corner Brook, NL A2H 3E9",94142-Fish and seafood plant workers,Unknown,3,102
Newfoundland and Labrador                                                  ,Low Wage            ,Barry Group Inc.,"Corner Brook, NL A2H 3E9",95107-Labourers in fish and seafood processing,Unknown,3,18
Newfoundland and Labrador                                                  ,Low Wage            ,Green Seafoods Limited,"Winterton, NL A0B 3M0",95107-Labourers in fish and seafood processing,Unknown,1,4
Newfoundland and Labrador                                                  ,Low Wage            ,Ocean Choice International,"St. John's, NL A1B 3N4",94142-Fish and seafood plant workers,Unknown,1,55
Newfoundland and Labrador                                                  ,Low Wage            ,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0",14100-General office support workers,Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0",94142-Fish and seafood plant workers,Unknown,1,137
Newfoundland and Labrador                                                  ,Low Wage            ,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0","94143-Testers and graders, food and beverage processing",Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0",95107-Labourers in fish and seafood processing,Unknown,1,30
Newfoundland and Labrador                                                  ,Primary Agriculture  ,Lester's Farm Market,"St. John's, NL A1E 6J4",85101-Harvesting labourers,Unknown,1,10
Newfoundland and Labrador                                                  ,Primary Agriculture  ,Lone Pine Farm,"Bishop's Falls, NL A0H 1C0",85101-Harvesting labourers,Unknown,1,4
Newfoundland and Labrador                                                  ,Primary Agriculture  ,N&N Farm Limited,"Cormack, NL A8A 2R6",82030-Agricultural service contractors and farm supervisors,Unknown,1,2
Newfoundland and Labrador                                                  ,Primary Agriculture  ,N&N Farm Limited,"Cormack, NL A8A 2R6",84120-Specialized livestock workers and farm machinery operators,Unknown,1,5
Newfoundland and Labrador                                                  ,Primary Agriculture  ,New World Dairy Inc,"St. David's, NL A0N 1X0",85100-Livestock labourers,Unknown,1,6
Newfoundland and Labrador                                                  ,Primary Agriculture  ,Pinedale Farms Ltd.,"Terra Nova, NL A0C 1L0",85101-Harvesting labourers,Unknown,1,3
Newfoundland and Labrador                                                  ,Primary Agriculture  ,Rolling Acres Farm,"Bishop's Falls, NL A0H 1C0",85101-Harvesting labourers,Unknown,2,4
Prince Edward Island                                                       ,Global Talent Stream  ,silverorange inc.,"Charlottetown, PE C1A 1R7",21232-Software developers and programmers,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,14834569 Canada inc.,"Summerside, PE C1N 3L2",73112-Painters and decorators (except interior decorators),Unknown,1,2
Prince Edward Island                                                       ,High Wage          ,AMAR SEAFOODS PEI LTD.,"Victoria, PE C0A 1J0",85102-Aquaculture and marine harvest labourers,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,Atlantic Safety Wear Inc.,"Lower Montague, PE C0A 1R0",13110-Administrative assistants,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,Delta Foods Ltd.,"Summerside, PE C1N 4K6",62020-Food service supervisors,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,Grandview Welding Ltd,"Grandview, PE C0A 1A0",72106-Welders and related machine operators,Unknown,1,5
Prince Edward Island                                                       ,High Wage          ,Health PEI,"Charlottetown, PE C1A 7N8",31101-Specialists in surgery,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,University of Prince Edward Island,"Charlottetown, PE C1A 4P3",41200-University professors and lecturers,Unknown,1,1
